,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
38,3,"['YX', 'ZY']",linear,0.004979825325543197,"(0.5569815807190397, 0.5784034366808145, 0.6097849432936757)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
10,3,"['YZ', 'XY']",linear,0.004979825325543197,"(0.5569815807190397, 0.5784034366808145, 0.6097849432936757)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
12,3,"['XY', 'YZ']",linear,0.004979825325543197,"(0.5569815807190397, 0.5784034366808145, 0.6097849432936757)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
36,3,"['ZY', 'YX']",linear,0.004979825325543197,"(0.5569815807190397, 0.5784034366808145, 0.6097849432936757)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
2,2,"['XZ', 'XY']",linear,0.004937674467186515,"(0.40462516537586635, 0.4029092418148262, 0.41106866718815904)",4,3,0.5,0.5,0.4375
6,2,"['ZX', 'YX']",linear,0.004937674467186515,"(0.40462516537586635, 0.4029092418148262, 0.41106866718815904)",4,3,0.5,0.5,0.4375
37,3,"['YX', 'ZX']",linear,0.004914247995503218,"(0.40469256624131983, 0.4011118319927053, 0.4073595937350971)",4,3,0.5,0.5,0.48571428571428577
9,3,"['XY', 'XZ']",linear,0.004914247995503218,"(0.40469256624131983, 0.4011118319927053, 0.4073595937350971)",4,3,0.5,0.5,0.48571428571428577
41,2,"['YZ', 'YY']",linear,0.004891088969446122,"(0.39488346498960936, 0.39527564032928253, 0.4054499936078479)",4,2,0.5,0.5,0.4375
19,2,"['ZY', 'YY']",linear,0.004891088969446122,"(0.39488346498960936, 0.39527564032928253, 0.4054499936078479)",4,2,0.5,0.5,0.4375
43,2,"['Y', 'Y']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",2,1,0.25,0.5,0.3333333333333333
13,1,"['ZZ', 'YY']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,2,0.25,0.5,0.3333333333333333
3,1,['XX'],linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",2,1,0.25,0.5,0.3333333333333333
12,1,"['X', 'X']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",2,1,0.25,0.5,0.3333333333333333
15,1,"['X', 'XX']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",3,1,0.25,0.5,0.3333333333333333
2,1,"['XX', 'X']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",3,1,0.25,0.5,0.3333333333333333
5,1,"['XX', 'XX']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,1,0.25,0.5,0.3333333333333333
18,2,"['YX', 'YZ']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,3,0.25,0.5,0.3333333333333333
16,2,"['ZY', 'XY']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,3,0.25,0.5,0.3333333333333333
15,1,"['YY', 'ZZ']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,2,0.25,0.5,0.3333333333333333
42,2,"['XY', 'ZY']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,3,0.25,0.5,0.3333333333333333
40,2,"['YZ', 'YX']",linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",4,3,0.25,0.5,0.3333333333333333
