,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
3,1,"['ZZ', 'Y']",linear,0.056802919013524245,"(0.290141965866011, 0.2190216036546117, 0.261507079470261)",3,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
6,1,"['YZ', 'Y']",linear,0.05195175218529163,"(0.2944161786010548, 0.22391522316224194, 0.2573177720940123)",3,2,0.6095238095238096,0.5833333333333334,0.5925925925925926
1,1,"['ZY', 'Y']",linear,0.05195175218529163,"(0.2944161786010548, 0.22391522316224194, 0.2573177720940123)",3,2,0.6095238095238096,0.5833333333333334,0.5925925925925926
7,3,"['XZ', 'Y']",linear,0.0485282890420175,"(0.31166700712647644, 0.24316202710121487, 0.2717136251599883)",3,3,0.3888888888888889,0.3333333333333333,0.3523809523809524
3,1,"['Z', 'XX']",linear,0.04830562021551385,"(0.31658911499868103, 0.24636061367914688, 0.27274335279064044)",3,2,0.6333333333333333,0.6666666666666666,0.6296296296296295
4,3,"['Y', 'YX']",linear,0.047004347358780924,"(0.3039569521137793, 0.24721996506043328, 0.2844916727246491)",3,2,0.5555555555555555,0.5,0.5142857142857143
13,1,"['Y', 'XY']",linear,0.04652759004208121,"(0.3109532021123373, 0.2493324516790366, 0.28076688132989824)",3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
5,1,"['Z', 'XZ']",linear,0.04652759004208121,"(0.3109532021123373, 0.2493324516790366, 0.28076688132989824)",3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,2,"['ZX', 'X']",linear,0.044264414420131515,"(0.3097563175450913, 0.2509650807397336, 0.28070267277463895)",3,2,0.6095238095238096,0.5833333333333334,0.5925925925925926
7,2,"['Z', 'XZ']",linear,0.04411371832359476,"(0.29994757071812056, 0.2438661373717502, 0.27601214067256935)",3,2,0.7222222222222223,0.6666666666666666,0.6761904761904761
19,3,"['Z', 'X']",linear,0.042835047849594354,"(0.7067207239630291, 0.6036289188163723, 0.5862072093689041)",2,2,0.7999999999999999,0.5,0.45714285714285713
4,3,['X'],linear,0.04093812056554735,"(0.5372847733056034, 0.4452082949225029, 0.43500805767049716)",1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
