,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
23,2,"['YY', 'Y']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",3,1,0.5857142857142857,0.5833333333333334,0.5804195804195803
39,2,"['YZ', 'XZ']",linear,0.03807067870219033,"(0.37955159137780786, 0.34260815305428444, 0.3818060721351416)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
21,2,"['ZY', 'ZX']",linear,0.03807067870219033,"(0.37955159137780786, 0.34260815305428444, 0.3818060721351416)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
11,3,"['X', 'ZX']",linear,0.03806451640610542,"(0.2989479253607425, 0.26138378401553286, 0.29994867548253407)",3,2,0.22727272727272727,0.4166666666666667,0.29411764705882354
26,2,"['YY', 'XY']",linear,0.037915407570683124,"(0.336277444542944, 0.3141611239112464, 0.3678756184209151)",4,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
28,2,"['YY', 'YX']",linear,0.037915407570683124,"(0.336277444542944, 0.3141611239112464, 0.3678756184209151)",4,2,0.9285714285714285,0.9166666666666666,0.9160839160839161
45,3,['ZX'],linear,0.03773202458549485,"(0.27021702261874303, 0.23886982004369306, 0.2829866666396328)",2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
41,3,['XZ'],linear,0.03773202458549485,"(0.27021702261874303, 0.23886982004369306, 0.2829866666396328)",2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
2,2,"['XZ', 'XY']",linear,0.03763986389058105,"(0.4045716433432211, 0.36048849072042066, 0.39168506587878227)",4,3,0.7571428571428571,0.75,0.7482517482517482
6,2,"['ZX', 'YX']",linear,0.03763986389058105,"(0.4045716433432211, 0.36048849072042066, 0.39168506587878227)",4,3,0.7571428571428571,0.75,0.7482517482517482
13,2,"['ZY', 'Y']",linear,0.03722746965280915,"(0.39284593792448724, 0.3269342189711301, 0.3354774393233913)",3,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
0,2,"['Y', 'XY']",linear,0.03722746965280915,"(0.39284593792448724, 0.3269342189711301, 0.3354774393233913)",3,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
40,3,"['YY', 'X']",linear,0.03717902963514391,"(0.2986493968845065, 0.2750288430439764, 0.3257663484737341)",3,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
12,2,"['ZY', 'X']",linear,0.03675122054496341,"(0.2916927122894399, 0.23726159100246166, 0.2563329108054103)",3,3,0.25,0.5,0.3333333333333333
50,3,"['ZZ', 'YZ']",linear,0.036697802076521624,"(0.3301789048533696, 0.3017440336581575, 0.3467047666159887)",4,2,0.7571428571428571,0.75,0.7482517482517482
52,3,"['ZZ', 'ZY']",linear,0.036697802076521624,"(0.3301789048533696, 0.3017440336581575, 0.3467047666159887)",4,2,0.7571428571428571,0.75,0.7482517482517482
